# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re5600_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 5600
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  22 5.416955829000000e-01 8.245309155000000e-01 2.687613990231107e-04 1.639394397401402e-02 7.636699400000002e-03 9.639999999999982e-03 6.264800537430240e-01 7.794374524374216e-01 1.229801689202805e-02 1.129032799548561e+00
  23 5.667358940000000e-01 8.041316534000000e-01 2.484646642290748e-04 1.576276194799233e-02 7.883745300000022e-03 9.728933599999934e-03 6.362113913550220e-01 7.715147863198131e-01 1.252174469392523e-02 1.105312772389725e+00
  24 5.919124225000000e-01 7.831604584000000e-01 2.326201765230285e-04 1.525189091631030e-02 8.119759199999965e-03 9.820360999999944e-03 6.434139934693683e-01 7.655184080136804e-01 1.274203381172121e-02 1.088304614590533e+00
  25 6.172452153000000e-01 7.617156424000000e-01 2.191274603858284e-04 1.480295444787386e-02 8.332239000000019e-03 9.913853100000036e-03 6.484680066269412e-01 7.612419092386344e-01 1.295003087682465e-02 1.073512816141893e+00
  26 6.427906661000000e-01 7.398598598000000e-01 2.082936761267557e-04 1.443238289842518e-02 8.474939800000025e-03 1.000913660000002e-02 6.513031015745832e-01 7.588176789449019e-01 1.311486438045238e-02 1.059960968637796e+00
  27 6.685458241000000e-01 7.177265919000000e-01 1.988372683831199e-04 1.410096693078598e-02 8.557542500000070e-03 1.010563019999999e-02 6.519102669239411e-01 7.582961188606705e-01 1.324180997468919e-02 1.045645017518328e+00
  28 6.944568620000000e-01 6.954870812000000e-01 1.929578196508485e-04 1.389092580251037e-02 8.614665399999999e-03 1.020258699999999e-02 6.502708618767513e-01 7.597024458260400e-01 1.335279619209078e-02 1.038703126498106e+00
  29 7.205540355000000e-01 6.732523284000000e-01 1.902405408707694e-04 1.379277132670478e-02 8.632646800000088e-03 1.029952299999992e-02 6.464633588850386e-01 7.629450344678009e-01 1.343865977663309e-02 1.037995622924320e+00
  30 7.468488122000000e-01 6.511075781000000e-01 1.919128871850231e-04 1.385326269097006e-02 8.633971800000029e-03 1.039606609999999e-02 6.419872696621277e-01 7.667152963074145e-01 1.351372288251478e-02 1.048371256936922e+00
  31 7.733484166000000e-01 6.290409798000000e-01 1.959002236773290e-04 1.399643610628538e-02 8.618604699999977e-03 1.049226900000000e-02 6.378115343166797e-01 7.701924737963899e-01 1.357811210422311e-02 1.064252999660138e+00
  32 8.000334510000000e-01 6.070605712000000e-01 2.045200311510222e-04 1.430105000169646e-02 8.607731500000049e-03 1.058809610000000e-02 6.338035913888870e-01 7.734940255377212e-01 1.364544021358053e-02 1.092807087621618e+00
  33 8.269036235000000e-01 5.851519229000000e-01 2.167031237535594e-04 1.472083977745697e-02 8.603215800000008e-03 1.068361070000001e-02 6.301020666178224e-01 7.765123216304743e-01 1.371685940319230e-02 1.130772661336068e+00
  34 8.539572785000000e-01 5.632989385000000e-01 2.337379637024861e-04 1.528849121733358e-02 8.611558199999925e-03 1.077888210000000e-02 6.266730798607445e-01 7.792822665618980e-01 1.379642337348547e-02 1.181188386426431e+00
  35 8.812284852000000e-01 5.414610666000000e-01 2.525047838530740e-04 1.589039910930729e-02 8.608796099999982e-03 1.087408779999999e-02 6.234992279582899e-01 7.818239653115122e-01 1.386920016494185e-02 1.234167905307661e+00
  36 9.086960703000000e-01 5.196399846999999e-01 2.733275609437228e-04 1.653262111535019e-02 8.614269299999977e-03 1.096922020000002e-02 6.206129172641685e-01 7.841170875098045e-01 1.394727979584988e-02 1.291276517745563e+00
  37 9.363517508000000e-01 4.978266235000000e-01 2.959805855049654e-04 1.720408630253189e-02 8.630673900000052e-03 1.106431879999997e-02 6.180278875334925e-01 7.861561741987967e-01 1.403227969633128e-02 1.351910285134916e+00
  38 9.641923819000000e-01 4.760059041000000e-01 3.222500914453863e-04 1.795132561805357e-02 8.663258899999970e-03 1.115944980000000e-02 6.157893549368257e-01 7.879108263924846e-01 1.412739392368514e-02 1.420190511368067e+00
  39 9.922512458000000e-01 4.541319904000000e-01 3.508886254427383e-04 1.873202139233079e-02 8.692308199999998e-03 1.125481260000000e-02 6.139117378050631e-01 7.893746754141328e-01 1.422057407557109e-02 1.491728547651005e+00
  40 1.020525628000000e+00 4.321875300000000e-01 3.820918521675956e-04 1.954716992732185e-02 8.721136999999990e-03 1.135048290000001e-02 6.124064512615948e-01 7.905430655272235e-01 1.431392610811653e-02 1.566861777389902e+00
  41 1.048988496000000e+00 4.101718846000000e-01 4.142856058831790e-04 2.035400712103587e-02 8.763478999999963e-03 1.144646400000005e-02 6.113098459487583e-01 7.913913521426081e-01 1.441583361967688e-02 1.643151888843200e+00
  42 1.077635436000000e+00 3.880697171000000e-01 4.453613715312523e-04 2.110358669826654e-02 8.814638000000041e-03 1.154282179999999e-02 6.104097686240346e-01 7.920857998779883e-01 1.452344638038672e-02 1.716382135138253e+00
  43 1.106497987000000e+00 3.658654750000000e-01 4.721550093701681e-04 2.172912813184570e-02 8.844799000000014e-03 1.163962460000001e-02 6.088722149508727e-01 7.932683189569707e-01 1.461869779765748e-02 1.778848722369768e+00
  44 1.135591209000000e+00 3.436105502000000e-01 4.961260463254339e-04 2.227388709510385e-02 8.836805000000059e-03 1.173664840000005e-02 6.060672312678018e-01 7.954134215509447e-01 1.469118560098796e-02 1.832486932469879e+00
  45 1.164875884000000e+00 3.214103095000000e-01 5.184450711932767e-04 2.276938890689157e-02 8.815306000000023e-03 1.183343390000002e-02 6.019403929141326e-01 7.985410217254838e-01 1.475577115432532e-02 1.881487395389983e+00
  46 1.194365169000000e+00 2.993336325000000e-01 5.411873741997041e-04 2.326343427354835e-02 8.763837000000052e-03 1.192968059999999e-02 5.964183309513910e-01 8.026737659255827e-01 1.480255468976143e-02 1.928406245392873e+00
  47 1.224073332000000e+00 2.774525742000000e-01 5.635834065087677e-04 2.373991167862188e-02 8.671198000000047e-03 1.202507449999995e-02 5.893917149691114e-01 8.078473904926412e-01 1.482515731536132e-02 1.970908381614777e+00
  48 1.253994972000000e+00 2.558578696000000e-01 5.825165856703494e-04 2.413538037136248e-02 8.544845999999939e-03 1.211922009999999e-02 5.807653825466425e-01 8.140709861157392e-01 1.482845621375280e-02 2.004186413818497e+00
  49 1.284124853000000e+00 2.346417806000000e-01 5.966052412380338e-04 2.442550390960305e-02 8.383712999999959e-03 1.221171500000001e-02 5.703939154519961e-01 8.213712809779394e-01 1.481237087658330e-02 2.026077887436265e+00
  50 1.314478792000000e+00 2.138879079000000e-01 6.031238196098281e-04 2.455857934836272e-02 8.180737999999854e-03 1.230219489999998e-02 5.580749344688519e-01 8.297905564162482e-01 1.477370997446888e-02 2.031799440595075e+00
  51 1.345071857000000e+00 1.936844394000000e-01 5.994174526326104e-04 2.448300334175957e-02 7.925567000000022e-03 1.239027500000001e-02 5.436908399111607e-01 8.392855715408771e-01 1.470803721392584e-02 2.016542775851915e+00
  52 1.375854229000000e+00 1.741622338000000e-01 5.863023786999697e-04 2.421368164282272e-02 7.646752000000090e-03 1.247538519999999e-02 5.270340781376697e-01 8.498441507015135e-01 1.463223203103566e-02 1.984081165491099e+00
  53 1.406852354000000e+00 1.554078771000000e-01 5.641066627903970e-04 2.375092972475808e-02 7.327996999999975e-03 1.255714769999999e-02 5.077278672986988e-01 8.615175057816962e-01 1.453883085461761e-02 1.933740199485737e+00
  54 1.438095837000000e+00 1.375144317000000e-01 5.356523325385865e-04 2.314416411406095e-02 6.963285999999957e-03 1.263515710000002e-02 4.857795849371059e-01 8.740813433876353e-01 1.442677727476017e-02 1.869815924950704e+00
  55 1.469590710000000e+00 1.205592179000000e-01 5.024244321064628e-04 2.241482616721492e-02 6.560643000000033e-03 1.270907600000000e-02 4.619895137133839e-01 8.868853867433328e-01 1.430244205262754e-02 1.795285813307341e+00
  56 1.501285928000000e+00 1.046059707000000e-01 4.652513444005068e-04 2.156968577426446e-02 6.159275999999991e-03 1.277862680000001e-02 4.369514916323059e-01 8.994850715605585e-01 1.418548887721874e-02 1.713468610761218e+00
  57 1.533189867000000e+00 8.967217051000000e-02 4.241478650209055e-04 2.059485044910269e-02 5.753646000000057e-03 1.284373299000001e-02 4.106249879369721e-01 9.118043207189587e-01 1.407356205378627e-02 1.623120272389811e+00
  58 1.565345850000000e+00 7.576766471000000e-02 3.802263478795470e-04 1.949939352594195e-02 5.322229000000123e-03 1.290435189000000e-02 3.828607073527177e-01 9.238060828796143e-01 1.395879113123424e-02 1.524252583920443e+00
  59 1.597750051000000e+00 6.292627051000001e-02 3.336804243087239e-04 1.826692158818020e-02 4.872655000000004e-03 1.296033600999999e-02 3.536864638157940e-01 9.353640389246740e-01 1.384602435247883e-02 1.416375750466681e+00
  60 1.630379771000000e+00 5.118610347000000e-02 2.879842803897732e-04 1.697009959869927e-02 4.417887000000009e-03 1.301151914000000e-02 3.231302288141600e-01 9.463545082190440e-01 1.374106263410249e-02 1.305848328359031e+00
  61 1.663222561000000e+00 4.058059459000000e-02 2.448138207556385e-04 1.564652743440660e-02 3.961863000000010e-03 1.305775551000000e-02 2.911873166054983e-01 9.566660580621063e-01 1.364555574661907e-02 1.195631149144319e+00
  62 1.696316847000000e+00 3.112663679000000e-02 2.080071828102775e-04 1.442245411884806e-02 3.486840999999963e-03 1.309897155000000e-02 2.578904898442009e-01 9.661741536844785e-01 1.355511088495715e-02 1.094788602959477e+00
  63 1.729655127000000e+00 2.285943635000000e-02 1.767663773663979e-04 1.329535172029675e-02 3.001444999999991e-03 1.313501372000000e-02 2.232375889868194e-01 9.747640631780350e-01 1.347357468888298e-02 1.003161120742968e+00
  64 1.763227939000000e+00 1.581306565000000e-02 1.533885157218387e-04 1.238501173684703e-02 2.511154999999876e-03 1.316573349000000e-02 1.873899785388433e-01 9.822855979516405e-01 1.340307567525428e-02 9.295845974680897e-01
  65 1.797045181000000e+00 1.001704411000000e-02 1.344121115983184e-04 1.159362374748803e-02 2.012872999999971e-03 1.319100217000000e-02 1.500884845829822e-01 9.886725680403923e-01 1.334369104866828e-02 8.663297071575107e-01
  66 1.831113425000000e+00 5.512237969000000e-03 1.220784834326847e-04 1.104891322405442e-02 1.507280999999860e-03 1.321064158100000e-02 1.123824149785429e-01 9.936650304824007e-01 1.329634444810769e-02 8.226968736239665e-01
  67 1.865420848000000e+00 2.302877783000000e-03 1.130849418932308e-04 1.063414039277415e-02 1.003633999999920e-03 1.322463329700000e-02 7.343965165618230e-02 9.972996628720070e-01 1.326262886005431e-02 7.898052807404243e-01
  68 1.899950651000000e+00 4.841608314000000e-04 1.167537989961492e-04 1.080526718763350e-02 5.663360000001116e-04 1.323256227860000e-02 3.045402124885346e-02 9.995361687251614e-01 1.324367181094693e-02 8.013679097906251e-01
  69 1.934764500000000e+00 1.326994363000000e-05 1.394292526892985e-04 1.180801645871560e-02 2.517280000000621e-04 1.323461520637000e-02 3.291536643744214e-03 9.999945828785888e-01 1.323537208478885e-02 8.751875519207060e-01
  70 1.969835156000000e+00 -6.833454757000000e-06 1.632843909203985e-04 1.277827808902273e-02 9.109100000004311e-05 1.323470285475700e-02 -7.410436982239079e-04 9.999997254270810e-01 1.323463171845449e-02 9.470485052235891e-01
  71 2.005131775000000e+00 2.308574199000000e-06 1.949775600947277e-04 1.396343654315540e-02 4.322099999987117e-05 1.323466299580100e-02 3.412814290044762e-05 9.999999994176348e-01 1.323466446314606e-02 1.034887825446126e+00
  72 2.040659052000000e+00 -3.672180591000000e-07 2.301366604260832e-04 1.517025577985036e-02 3.888200000012887e-05 1.323467465805910e-02 8.666434115849388e-05 9.999999962446459e-01 1.323467797804112e-02 1.124331320508685e+00
  73 2.076462986000000e+00 -1.256698831000000e-07 2.494598825741475e-04 1.579429905295412e-02 3.518599999985383e-05 1.323467360988310e-02 -2.311412796610143e-05 9.999999997328686e-01 1.323467279305400e-02 1.170581327784346e+00
  74 2.112559849000000e+00 1.178948985000000e-07 2.733625735292770e-04 1.653367997541010e-02 2.129599999989296e-05 1.323467254510150e-02 9.739020280246705e-07 9.999999999995258e-01 1.323467256583544e-02 1.225379908384032e+00
  75 2.148890852000000e+00 -4.603056089000000e-08 3.013914445374024e-04 1.736062915154293e-02 1.739499999997562e-05 1.323467326056089e-02 2.579761710514388e-06 9.999999999966724e-01 1.323467330539181e-02 1.286668629101700e+00
  76 2.185457871000000e+00 9.749056139999999e-09 3.163828870827830e-04 1.778715511493569e-02 2.265299999981707e-05 1.323467301094386e-02 -1.508946369531932e-06 9.999999999988616e-01 1.323467297674663e-02 1.318280214343904e+00
  77 2.222287184000000e+00 1.005363574000000e-09 3.305869680156040e-04 1.818205070985129e-02 3.339000000002201e-05 1.323467305463643e-02 4.803013554908510e-07 9.999999999998846e-01 1.323467307067216e-02 1.347547582635882e+00
  78 2.259439811000000e+00 -1.933682469000000e-09 3.394068076245192e-04 1.842299670587061e-02 1.629499999999950e-05 1.323467306368247e-02 -5.826789849886839e-08 9.999999999999983e-01 1.323467306273297e-02 1.365405094132822e+00
  79 2.296836822000000e+00 8.835101990000000e-10 3.395683885561523e-04 1.842738148940734e-02 1.209300000004632e-05 1.323467305648980e-02 -3.377318086739823e-08 9.999999999999994e-01 1.323467305608137e-02 1.365730068035155e+00
  80 2.334477711000000e+00 -2.279977196000000e-10 3.487831873414819e-04 1.867573793298358e-02 1.557300000021300e-05 1.323467305799772e-02 2.568339941253548e-08 9.999999999999998e-01 1.323467305839768e-02 1.384136799737179e+00
  81 2.372361492000000e+00 6.147919672000000e-12 3.586678276868857e-04 1.893852760081643e-02 2.953399999983120e-05 1.323467305385208e-02 -9.473063723582170e-09 9.999999999999998e-01 1.323467305357230e-02 1.403613237112018e+00
  82 2.410596315000000e+00 2.964777620000000e-11 3.742268365325020e-04 1.934494343575349e-02 1.131300000034585e-05 1.323467306035222e-02 1.734093947205554e-09 1.000000000000000e+00 1.323467306037184e-02 1.433734409764069e+00
  83 2.449088852000000e+00 -1.634561175000000e-11 3.987114162843949e-04 1.996775942073609e-02 6.179999999744723e-06 1.323467305634561e-02 3.554127613962403e-10 1.000000000000000e+00 1.323467305634781e-02 1.479893898567006e+00
  84 2.487832988000000e+00 4.949783785000000e-12 4.086615908029352e-04 2.021538005586180e-02 7.423000000006397e-06 1.323467305505022e-02 -4.183257284777014e-10 1.000000000000000e+00 1.323467305504711e-02 1.498246096047966e+00
  85 2.526829845000000e+00 -5.510223170000000e-13 4.177575366246405e-04 2.043911780446114e-02 1.820999999990747e-05 1.323467306055102e-02 1.790557051035642e-10 1.000000000000000e+00 1.323467306055428e-02 1.514828234013905e+00
  86 2.566155624000000e+00 -4.100760868000000e-13 4.225102595311210e-04 2.055505435485689e-02 1.275100000031060e-05 1.323467306041008e-02 -4.209725096911085e-11 1.000000000000000e+00 1.323467306040954e-02 1.523420775102678e+00
  87 2.605775057000000e+00 2.910617095000000e-13 4.153304361306706e-04 2.037965740955109e-02 2.123000000242570e-06 1.323467305970894e-02 -1.595132755919353e-12 1.000000000000000e+00 1.323467305970893e-02 1.510421376151987e+00
  88 2.645653389000000e+00 -1.019149664000000e-13 4.179625907021418e-04 2.044413340550638e-02 4.319999997726143e-07 1.323467306010192e-02 6.454824362465147e-12 1.000000000000000e+00 1.323467306010192e-02 1.515199961066316e+00
  89 2.685792762000000e+00 1.759504587000000e-14 4.246480603835712e-04 2.060699057076436e-02 1.100699999989629e-05 1.323467305998241e-02 -3.257395284550346e-12 1.000000000000000e+00 1.323467305998237e-02 1.527269984543552e+00
  90 2.726242298000000e+00 4.708533403000000e-15 4.296822289618509e-04 2.072877779710736e-02 1.467000000010543e-05 1.323467305999529e-02 9.185538808622534e-13 1.000000000000000e+00 1.323467305999531e-02 1.536296143636831e+00
  91 2.767023115000000e+00 -4.894396563000000e-15 4.258763162215759e-04 2.063677097371524e-02 -1.390000003986813e-07 1.323467306000489e-02 -5.811242770009615e-14 1.000000000000000e+00 1.323467306000489e-02 1.529477134367393e+00
  92 2.808070415000000e+00 1.982540380000000e-15 4.113650609983324e-04 2.028213649984469e-02 -3.475000000197070e-06 1.323467305999802e-02 -8.883935091607573e-14 1.000000000000000e+00 1.323467305999802e-02 1.503193694988703e+00
  93 2.849386630000000e+00 -5.575894817000000e-16 4.024680109892973e-04 2.006160539411782e-02 3.318999999724070e-06 1.323467306000056e-02 5.478272294173322e-14 1.000000000000000e+00 1.323467306000056e-02 1.486849215319401e+00
  94 2.890990074000000e+00 6.195438687000000e-17 3.977308995636912e-04 1.994319180983052e-02 1.655300000003024e-05 1.323467305999994e-02 -2.107583027428020e-14 1.000000000000000e+00 1.323467305999994e-02 1.478073090905462e+00
  95 2.932965972000000e+00 1.239087737000000e-16 3.833422348532211e-04 1.957912753043968e-02 1.233000000322448e-06 1.323467305999988e-02 2.794420354422544e-15 1.000000000000000e+00 1.323467305999988e-02 1.451090769326307e+00
  96 2.975216761000000e+00 6.195438687000000e-17 3.858487604638017e-04 1.964303338244380e-02 -4.514000000011009e-06 1.323467305999994e-02 1.510292710957861e-15 1.000000000000000e+00 1.323467305999994e-02 1.455827098450527e+00
  97 3.017743628000000e+00 0.000000000000000e+00 3.969831440684821e-04 1.992443585320503e-02 -3.304999999897973e-06 1.323467306000000e-02 1.985123920572130e-15 1.000000000000000e+00 1.323467306000000e-02 1.476683008763820e+00
  98 3.060547647000000e+00 -6.195438687000000e-17 3.897374999212851e-04 1.974177043533039e-02 1.366100000010917e-05 1.323467306000006e-02 -1.224798876845634e-15 1.000000000000000e+00 1.323467306000006e-02 1.463144913088168e+00
  99 3.103739753000000e+00 6.195438687000000e-17 3.744040813967890e-04 1.934952406124732e-02 7.379999997780828e-07 1.323467305999994e-02 -1.262338017767574e-15 1.000000000000000e+00 1.323467305999994e-02 1.434073898976379e+00
 100 3.147229266000000e+00 0.000000000000000e+00 3.784197922631128e-04 1.945301499159225e-02 -4.882999999900051e-06 1.323467306000000e-02 2.342878013398002e-15 1.000000000000000e+00 1.323467306000000e-02 1.441744043292012e+00
 101 3.191001935000000e+00 -6.195438687000000e-17 3.865949848591594e-04 1.966201883986381e-02 -4.601000000103994e-06 1.323467306000006e-02 -2.586929718913293e-16 1.000000000000000e+00 1.323467306000006e-02 1.457234189852892e+00
 102 3.235059838000000e+00 0.000000000000000e+00 3.725085227351891e-04 1.930047985764057e-02 5.867999999686901e-06 1.323467306000000e-02 -8.170223489195946e-16 1.000000000000000e+00 1.323467306000000e-02 1.430439028575134e+00
 103 3.279482452000000e+00 0.000000000000000e+00 3.492811001972593e-04 1.868906365223414e-02 2.429000000248038e-06 1.323467306000000e-02 -8.102819740568648e-16 1.000000000000000e+00 1.323467306000000e-02 1.385124424515151e+00
 104 3.324246497000000e+00 6.195438687000000e-17 3.294614986282260e-04 1.815107431058079e-02 -6.645999999665975e-06 1.323467305999994e-02 -2.298915276509759e-16 1.000000000000000e+00 1.323467305999994e-02 1.345251791454483e+00
 105 3.369303667000000e+00 0.000000000000000e+00 3.218678910805755e-04 1.794067699616086e-02 -8.432000000002660e-06 1.323467306000000e-02 2.056014763061798e-15 1.000000000000000e+00 1.323467306000000e-02 1.329658369307811e+00
 106 3.414655010000000e+00 -6.195438687000000e-17 3.230982253364469e-04 1.797493324984677e-02 -1.832000000145939e-06 1.323467306000006e-02 -2.268929149918632e-16 1.000000000000000e+00 1.323467306000006e-02 1.332197243087460e+00
 107 3.460343787000000e+00 0.000000000000000e+00 3.107631360812896e-04 1.762847514906747e-02 4.722000000345616e-06 1.323467306000000e-02 -7.875875502705894e-16 1.000000000000000e+00 1.323467306000000e-02 1.306519788807760e+00
 108 3.506420393000000e+00 0.000000000000000e+00 2.951107930026252e-04 1.717878904354510e-02 -8.816999999883279e-06 1.323467306000000e-02 -7.816291503628663e-16 1.000000000000000e+00 1.323467306000000e-02 1.273191676724965e+00
 109 3.552798373000000e+00 6.195438687000000e-17 2.795710802129439e-04 1.672037918867105e-02 -1.101199999986591e-05 1.323467305999994e-02 -2.219218757166564e-16 1.000000000000000e+00 1.323467305999994e-02 1.239217011207215e+00
 110 3.599478832000000e+00 0.000000000000000e+00 2.727278574971212e-04 1.651447418167231e-02 -5.428000000140543e-06 1.323467306000000e-02 1.984802494351746e-15 1.000000000000000e+00 1.323467306000000e-02 1.223956532692567e+00
 111 3.646471868000000e+00 -6.195438687000000e-17 2.645883072574353e-04 1.626617063901136e-02 1.064700000030783e-05 1.323467306000006e-02 -1.968455379256532e-16 1.000000000000000e+00 1.323467306000006e-02 1.205553721934731e+00
 112 3.693898569000000e+00 0.000000000000000e+00 2.545791906888635e-04 1.595553793166697e-02 -9.364999999927903e-06 1.323467306000000e-02 -9.545680916155433e-16 1.000000000000000e+00 1.323467306000000e-02 1.182531436923430e+00
 113 3.741634640000000e+00 0.000000000000000e+00 3.063350676074432e-04 1.750243033431195e-02 -1.443500000020137e-05 1.323467306000000e-02 1.940462867631350e-16 1.000000000000000e+00 1.323467306000000e-02 1.297178082088253e+00
 114 3.789683072000000e+00 0.000000000000000e+00 4.904330371026186e-04 2.214572277218828e-02 -1.040999999979419e-05 1.323467306000000e-02 -2.142555732770599e-17 1.000000000000000e+00 1.323467306000000e-02 1.641311843176929e+00
 115 3.838046283000000e+00 0.000000000000000e+00 7.999598638902087e-04 2.828356172567749e-02 4.879000000013178e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.096212677505358e+00
 116 3.886832929000000e+00 0.000000000000000e+00 9.289679926202894e-04 3.047897623970151e-02 -8.634999999923565e-06 1.323467306000000e-02 -0.000000000000000e+00 1.000000000000000e+00 1.323467306000000e-02 2.258924000121363e+00
